date,description,amount,type,category
2020-04-23,Develop staff least figure.,-849.54,debit,Utilities
2020-04-25,Age cover foreign.,-1750.23,debit,Entertainment
2020-04-26,Go meeting quickly.,914.0,credit,Investment
2020-04-26,Voice boy wife condition.,-1938.3,debit,Food & Drink
2020-04-27,Paper memory history office.,-1730.65,debit,Entertainment
2020-04-27,Board its.,-340.96,debit,Entertainment
2020-04-29,Remember ability.,-764.16,debit,Utilities
2020-04-30,Hair attorney professional.,-1853.77,debit,Travel
2020-05-01,Finish summer rest feel finally.,-851.78,debit,Travel
2020-05-03,I fast camera inside.,-318.05,debit,Salary
2020-05-03,Past feeling nature.,-1162.57,debit,Food & Drink
2020-05-05,Expert involve oil.,-123.76,debit,Health & Fitness
2020-05-06,Kid put memory soldier.,-123.19,debit,Utilities
2020-05-06,Exist professional.,-146.36,debit,Utilities
2020-05-07,Stand seem.,3807.0,credit,Investment
2020-05-11,Southern challenge animal.,825.0,credit,Investment
2020-05-12,Sure authority increase picture create.,-1318.17,debit,Shopping
2020-05-13,Hundred challenge reach throughout.,-1870.07,debit,Health & Fitness
2020-05-14,Despite sound receive let.,-484.99,debit,Health & Fitness
2020-05-15,True building card.,-919.88,debit,Travel
2020-05-16,Write other wear through partner.,-28.54,debit,Rent
2020-05-17,Store natural today season.,-155.79,debit,Rent
2020-05-19,Else easy point she.,-273.59,debit,Travel
2020-05-20,Phone ever back experience.,-1759.75,debit,Rent
2020-05-21,Floor music catch discuss.,-881.99,debit,Utilities
2020-05-25,Ask imagine my.,-1227.24,debit,Travel
2020-05-27,Deal information.,-1339.05,debit,Food & Drink
2020-05-28,Task she.,-1878.47,debit,Rent
2020-05-29,Accept goal send table.,1376.0,credit,Investment
2020-05-30,Section national owner determine detail.,-551.97,debit,Utilities
2020-05-31,Ahead from quickly identify.,-415.16,debit,Health & Fitness
2020-05-31,Try wonder move trade.,-1015.76,debit,Travel
2020-06-01,Base investment.,-193.67,debit,Food & Drink
2020-06-02,Anyone here deep.,-97.73,debit,Travel
2020-06-05,Seven here sell story.,-1277.86,debit,Utilities
2020-06-06,Like see.,-1107.84,debit,Salary
2020-06-07,Difference attention whatever american.,-232.63,debit,Food & Drink
2020-06-08,Current after charge.,-1095.72,debit,Utilities
2020-06-09,Paper white responsibility.,826.0,credit,Other
2020-06-09,Prove nor design record.,-865.28,debit,Utilities
2020-06-10,Blue agent find.,-1367.31,debit,Entertainment
2020-06-10,Walk cup option store.,-1562.43,debit,Health & Fitness
2020-06-11,Recent feeling.,-1947.94,debit,Shopping
2020-06-11,Site girl into have media.,-1730.57,debit,Entertainment
2020-06-12,Support state.,-1764.02,debit,Utilities
2020-06-14,Whether player stock religious.,3872.0,credit,Other
2020-06-15,Safe whole establish.,-540.94,debit,Entertainment
2020-06-18,Everything late.,2322.0,credit,Other
2020-06-18,Let stay or focus.,-771.26,debit,Rent
2020-06-18,Particular her agreement surface consider.,3364.0,credit,Other
2020-06-19,Act way beat result major.,-663.24,debit,Shopping
2020-06-19,Something future they red.,-453.62,debit,Entertainment
2020-06-21,Position make society behavior.,-708.78,debit,Travel
2020-06-21,Reality fill ok list.,-1879.08,debit,Health & Fitness
2020-06-22,International second former reflect.,1962.0,credit,Other
2020-06-22,Edge building court.,-86.13,debit,Travel
2020-06-24,Week real course school everybody.,-1459.8,debit,Health & Fitness
2020-06-30,Executive beyond create dinner conference.,-776.54,debit,Rent
2020-06-30,Call animal approach factor want.,-98.33,debit,Travel
2020-07-02,Their off.,-734.8,debit,Entertainment
2020-07-03,Key continue anything wait.,3071.0,credit,Other
2020-07-04,State husband.,-1442.31,debit,Rent
2020-07-05,Picture approach chance none fight.,-1337.12,debit,Travel
2020-07-06,Newspaper indicate other.,-1113.28,debit,Travel
2020-07-06,Herself training father open investment.,1925.0,credit,Other
2020-07-08,Art whether between several personal.,-818.09,debit,Travel
2020-07-11,Church community.,-580.96,debit,Travel
2020-07-12,Able late order.,-935.33,debit,Health & Fitness
2020-07-12,Discuss religious.,-1027.24,debit,Entertainment
2020-07-13,Reach under.,-1321.11,debit,Utilities
2020-07-17,Boy different chance enter.,-195.84,debit,Health & Fitness
2020-07-20,Arrive society.,-1348.86,debit,Entertainment
2020-07-21,Matter management ball.,1096.0,credit,Other
2020-07-21,Keep light fight.,-303.23,debit,Entertainment
2020-07-22,Million kind everything young.,-1786.39,debit,Food & Drink
2020-07-22,Week yourself public especially american.,-495.53,debit,Shopping
2020-07-22,Same page ago director.,-1439.51,debit,Entertainment
2020-07-23,Why like impact fly.,-1559.06,debit,Rent
2020-07-24,Form really explain.,-109.93,debit,Salary
2020-07-28,Already because education break significant.,-918.36,debit,Rent
2020-07-28,Price my.,-1900.58,debit,Health & Fitness
2020-07-29,Could gun.,-1662.83,debit,Shopping
2020-07-30,Kind appear environment capital explain.,-1489.87,debit,Utilities
2020-07-31,Ahead picture son.,-1506.04,debit,Travel
2020-08-01,Water positive child usually.,-556.45,debit,Entertainment
2020-08-01,Relate indeed lot line lead.,2420.0,credit,Other
2020-08-01,Nearly need behavior.,-1533.97,debit,Travel
2020-08-02,Course out second carry.,-1787.12,debit,Health & Fitness
2020-08-03,Significant take future.,2394.0,credit,Investment
2020-08-04,Star executive fear.,-1415.77,debit,Utilities
2020-08-04,Your majority chance mrs generation.,3210.0,credit,Other
2020-08-04,Help usually thank wonder draw.,-133.91,debit,Shopping
2020-08-05,Task improve fish.,-1810.63,debit,Shopping
2020-08-05,History professional star wonder.,-1714.9,debit,Food & Drink
2020-08-06,Call whole.,-959.19,debit,Shopping
2020-08-08,Address century that wide.,-1081.06,debit,Shopping
2020-08-08,Them key.,-1509.42,debit,Travel
2020-08-09,Sit enter perhaps however.,-981.58,debit,Entertainment
2020-08-13,System teacher here first.,-67.76,debit,Salary
2020-08-14,Along attention piece tv young.,-1451.12,debit,Shopping
2020-08-16,Within set region beyond.,-1961.64,debit,Utilities
2020-08-17,Tough animal someone.,-1187.87,debit,Shopping
2020-08-18,Hear certainly most not.,-1289.07,debit,Rent
2020-08-19,Company participant him.,1988.0,credit,Other
2020-08-20,Tree central leave effect.,3181.0,credit,Other
2020-08-21,Together let.,-681.63,debit,Health & Fitness
2020-08-21,Citizen kid generation onto police.,-1506.5,debit,Travel
2020-08-22,Lead few yourself.,-1671.47,debit,Travel
2020-08-22,Down occur.,-1999.82,debit,Food & Drink
2020-08-26,Yeah far within.,-1564.65,debit,Rent
2020-08-27,Seat strategy total simply discover.,1748.0,credit,Investment
2020-08-27,Account ten sing.,-1899.73,debit,Food & Drink
2020-08-29,Pm per question.,-1342.22,debit,Salary
2020-08-30,Best physical always small almost.,-935.42,debit,Entertainment
2020-08-31,Bed far section.,-343.9,debit,Health & Fitness
2020-09-01,Car much will.,-1557.81,debit,Rent
2020-09-05,Tree store either station.,1385.0,credit,Other
2020-09-05,Second full boy.,-1155.84,debit,Travel
2020-09-06,Senior difficult put.,-799.34,debit,Shopping
2020-09-07,Hand so add mr lawyer.,-1188.27,debit,Rent
2020-09-08,Herself police he push likely.,-212.78,debit,Entertainment
2020-09-11,Doctor mr.,-147.22,debit,Health & Fitness
2020-09-11,Trip determine as statement.,-1594.49,debit,Rent
2020-09-11,Bring animal also you.,-700.94,debit,Food & Drink
2020-09-16,He we recent music.,-1700.66,debit,Food & Drink
2020-09-17,Those pressure street.,-872.71,debit,Rent
2020-09-17,Allow have kitchen.,-1417.54,debit,Salary
2020-09-18,Between rate name within.,-1235.67,debit,Travel
2020-09-18,Huge couple.,-935.1,debit,Salary
2020-09-22,Begin deep police wife.,-651.39,debit,Travel
2020-09-22,During call north attention.,-565.07,debit,Rent
2020-09-22,Only spend do.,-1144.0,debit,Salary
2020-09-23,Produce ago.,-980.22,debit,Utilities
2020-09-23,Able teach certain candidate economy.,-67.11,debit,Health & Fitness
2020-09-25,So draw food company.,-687.27,debit,Travel
2020-09-27,Score moment second.,-1116.02,debit,Travel
2020-09-27,Sing message board mean.,-180.37,debit,Entertainment
2020-09-27,Feeling poor all your suggest.,-1114.8,debit,Salary
2020-09-29,Make travel.,-1295.35,debit,Salary
2020-09-30,Focus chance.,-195.18,debit,Food & Drink
2020-10-01,Person one republican.,-619.35,debit,Entertainment
2020-10-03,Most law painting between reduce.,-1111.41,debit,Salary
2020-10-04,Involve thousand including.,-710.1,debit,Health & Fitness
2020-10-07,Rather listen before.,3084.0,credit,Investment
2020-10-07,It season.,2069.0,credit,Investment
2020-10-07,Indeed believe interview professor.,-510.29,debit,Travel
2020-10-08,News only no.,-560.23,debit,Salary
2020-10-08,Improve them wait.,-1961.22,debit,Travel
2020-10-10,Why outside.,-462.69,debit,Travel
2020-10-10,Official defense.,4875.0,credit,Investment
2020-10-10,Suggest glass news.,946.0,credit,Investment
2020-10-12,Off southern suddenly.,-1279.36,debit,Utilities
2020-10-14,Participant price.,-1746.71,debit,Rent
2020-10-15,Congress reflect.,-962.64,debit,Salary
2020-10-16,Heavy law church.,-1158.27,debit,Rent
2020-10-16,Scientist will begin.,-1646.01,debit,Rent
2020-10-16,Go consider century price.,-512.43,debit,Food & Drink
2020-10-18,Since nothing be apply.,-306.9,debit,Utilities
2020-10-19,Anyone bank kitchen interest parent.,-179.51,debit,Travel
2020-10-23,Democratic mention generation.,-1216.57,debit,Shopping
2020-10-24,Question or money.,-1553.63,debit,Entertainment
2020-10-26,Determine worker.,-601.73,debit,Salary
2020-10-27,Daughter war.,-617.71,debit,Shopping
2020-10-27,Face build market.,-1895.7,debit,Rent
2020-10-27,Can mouth discover.,-536.65,debit,Entertainment
2020-10-28,Author technology amount affect.,1923.0,credit,Investment
2020-10-29,Office of remember individual.,-15.32,debit,Utilities
2020-10-30,Again foot soon peace.,-589.61,debit,Salary
2020-10-31,Join black.,-1408.95,debit,Travel
2020-11-01,Hundred bad that second develop.,-1848.58,debit,Entertainment
2020-11-01,Member box.,-856.03,debit,Entertainment
2020-11-02,Town glass road.,-1817.74,debit,Utilities
2020-11-04,Bill eight community.,-128.68,debit,Rent
2020-11-06,Concern significant.,-883.92,debit,Travel
2020-11-07,Senior service large under.,-1402.47,debit,Travel
2020-11-09,Follow wife firm key light.,-881.14,debit,Salary
2020-11-10,Option goal avoid.,-1471.72,debit,Shopping
2020-11-10,Also hard expert popular.,-191.74,debit,Food & Drink
2020-11-12,Training occur could painting.,-1156.73,debit,Travel
2020-11-12,Order his oil west school.,-1999.15,debit,Food & Drink
2020-11-14,Whatever late specific.,-946.3,debit,Utilities
2020-11-14,Mean common.,-371.16,debit,Travel
2020-11-14,Yard model particular hair.,-1938.42,debit,Salary
2020-11-14,Impact full our smile.,-673.28,debit,Shopping
2020-11-15,Form newspaper.,-666.31,debit,Utilities
2020-11-15,Edge surface who.,-1328.54,debit,Travel
2020-11-16,Bank professional true financial.,-915.1,debit,Food & Drink
2020-11-16,Organization visit finally.,-240.68,debit,Health & Fitness
2020-11-17,Spend prove stock school.,-1318.74,debit,Food & Drink
2020-11-20,Position interest.,-117.87,debit,Shopping
2020-11-22,Guy congress.,-1254.56,debit,Salary
2020-11-23,Way main difficult case.,-541.44,debit,Entertainment
2020-11-25,Such big side.,4089.0,credit,Other
2020-11-25,Product then.,-251.64,debit,Salary
2020-11-26,Heavy class story side speak.,-1422.47,debit,Entertainment
2020-11-27,Analysis hair rest wide.,-1108.98,debit,Food & Drink
2020-11-27,Doctor dream whole six.,4280.0,credit,Investment
2020-11-29,Question now key show.,-1001.77,debit,Utilities
2020-12-01,Month whom stage soon.,-836.83,debit,Travel
2020-12-05,Appear lose he.,-495.02,debit,Salary
2020-12-05,Surface expect several evening town.,-389.31,debit,Shopping
2020-12-06,Begin treat stage this.,-1729.41,debit,Utilities
2020-12-10,Agreement us stuff.,-1642.89,debit,Travel
2020-12-10,Apply maybe dog yes.,-686.35,debit,Shopping
2020-12-11,Case expert stop.,-1676.58,debit,Travel
2020-12-12,Large accept bad eight.,-1731.87,debit,Salary
2020-12-13,Vote participant institution simply down.,-696.8,debit,Salary
2020-12-14,Draw police.,-916.14,debit,Shopping
2020-12-14,Book toward.,-1961.74,debit,Entertainment
2020-12-16,Place offer.,-474.79,debit,Shopping
2020-12-16,Investment pass drive.,-643.17,debit,Food & Drink
2020-12-16,Professor beat window.,-778.3,debit,Shopping
2020-12-18,Wonder effect administration small.,1322.0,credit,Other
2020-12-18,Name skill medical after them.,-995.7,debit,Utilities
2020-12-20,And national spend.,-1447.66,debit,Food & Drink
2020-12-20,Run pick sign.,-208.43,debit,Salary
2020-12-22,Wonder long consider care.,-158.91,debit,Utilities
2020-12-23,Fall analysis.,-683.74,debit,Travel
2020-12-23,Firm financial.,-1705.01,debit,Rent
2020-12-24,List already positive experience television.,-1908.74,debit,Shopping
2020-12-25,Event son join hundred.,-1746.04,debit,Salary
2020-12-26,Fund cost reality happen.,2423.0,credit,Investment
2020-12-28,Song risk bad.,-1994.88,debit,Travel
2020-12-30,Family bill foreign fast knowledge.,-1956.89,debit,Shopping
2020-12-31,Ready goal amount.,-892.92,debit,Rent
2021-01-01,Your ever woman way avoid.,-101.52,debit,Food & Drink
2021-01-06,Call door.,-1067.02,debit,Entertainment
2021-01-06,Message seek civil all.,-723.34,debit,Travel
2021-01-08,Him note painting quickly.,-348.27,debit,Utilities
2021-01-10,Know baby case happen.,2472.0,credit,Other
2021-01-10,Economic box save.,-472.06,debit,Utilities
2021-01-11,Hit no energy employee land.,-518.1,debit,Salary
2021-01-12,Customer career available common.,2856.0,credit,Other
2021-01-13,Specific whose.,-156.99,debit,Utilities
2021-01-13,Remember nearly face feel.,-1281.49,debit,Travel
2021-01-14,Soldier meeting building.,-919.1,debit,Travel
2021-01-14,Door management guess.,-1708.14,debit,Shopping
2021-01-15,Huge response long.,-53.66,debit,Travel
2021-01-15,Level work candidate this.,3440.0,credit,Other
2021-01-17,Statement available win politics.,-556.22,debit,Shopping
2021-01-17,Quite general there sister.,-1822.13,debit,Food & Drink
2021-01-19,Item treat area.,-1553.72,debit,Travel
2021-01-20,Check clearly follow remember generation.,-445.82,debit,Health & Fitness
2021-01-24,Suffer economy play.,1620.0,credit,Other
2021-01-26,By field move.,-624.78,debit,Food & Drink
2021-01-27,Option oil commercial.,-1467.4,debit,Health & Fitness
2021-01-27,American tell ball we side.,3176.0,credit,Other
2021-01-27,Short indicate police.,-409.58,debit,Utilities
2021-01-27,Nation politics few each southern.,-1066.4,debit,Health & Fitness
2021-01-29,Law read citizen.,-521.37,debit,Utilities
2021-02-02,Less future century technology.,-1935.09,debit,Salary
2021-02-05,Wish candidate have no.,-1610.42,debit,Health & Fitness
2021-02-05,Letter environment easy.,-290.11,debit,Rent
2021-02-08,Face his.,-1934.87,debit,Shopping
2021-02-08,While total spend.,-189.7,debit,Health & Fitness
2021-02-09,Couple city you level.,-1077.78,debit,Travel
2021-02-09,Age war measure whom.,-1173.27,debit,Travel
2021-02-11,Good anything manager think pressure.,-225.61,debit,Health & Fitness
2021-02-11,Mr suggest issue.,-1242.9,debit,Food & Drink
2021-02-13,Shake hand hundred now.,-1831.36,debit,Health & Fitness
2021-02-16,Network available mean share.,-1274.45,debit,Rent
2021-02-18,Quite budget window hour some.,-1301.99,debit,Travel
2021-02-19,Voice sense current meeting matter.,804.0,credit,Investment
2021-02-20,Case four.,-241.08,debit,Salary
2021-02-21,Lead paper middle foreign party.,-783.41,debit,Utilities
2021-02-23,Wrong school federal from.,-1178.81,debit,Shopping
2021-02-24,Majority none little admit former.,-1313.29,debit,Shopping
2021-02-27,On someone rise read.,-1878.72,debit,Shopping
2021-02-28,Listen whose situation simply officer.,-442.37,debit,Health & Fitness
2021-03-02,Occur red.,4960.0,credit,Other
2021-03-02,Kid industry.,-130.49,debit,Health & Fitness
2021-03-02,Lose modern return simple herself.,-1712.35,debit,Entertainment
2021-03-04,Improve simple turn.,-1898.53,debit,Rent
2021-03-05,Million night your.,-1328.91,debit,Rent
2021-03-05,Heavy what least mouth national.,-110.65,debit,Food & Drink
2021-03-07,Machine whatever everything fear walk.,-1576.09,debit,Utilities
2021-03-07,Relate real major.,-1176.9,debit,Entertainment
2021-03-08,Night various return explain.,-663.83,debit,Entertainment
2021-03-09,Here woman stand west source.,2771.0,credit,Investment
2021-03-09,Explain research.,-1975.18,debit,Utilities
2021-03-10,Pretty section degree still.,-228.75,debit,Utilities
2021-03-12,Receive case past only drug.,-39.57,debit,Utilities
2021-03-15,Race case.,929.0,credit,Other
2021-03-15,Point appear including.,-1181.82,debit,Entertainment
2021-03-16,Imagine various there.,4809.0,credit,Other
2021-03-16,Sense expert experience.,4401.0,credit,Investment
2021-03-17,Present discussion.,-1031.34,debit,Health & Fitness
2021-03-17,Individual study value.,855.0,credit,Investment
2021-03-18,Small control see the.,-921.5,debit,Travel
2021-03-19,Across nothing.,-1997.19,debit,Food & Drink
2021-03-20,Expect writer myself management.,-1375.33,debit,Shopping
2021-03-21,Life cover both class.,-156.25,debit,Salary
2021-03-22,Foreign husband believe word local.,-912.89,debit,Travel
2021-03-22,Purpose cover particularly police if.,3620.0,credit,Other
2021-03-22,Responsibility add front.,1038.0,credit,Investment
2021-03-23,End dog.,-1588.26,debit,Rent
2021-03-23,Few reveal activity president.,4023.0,credit,Investment
2021-03-24,Property let.,-833.49,debit,Entertainment
2021-03-25,Rather type thousand show.,-837.82,debit,Shopping
2021-03-26,Happen determine whatever.,3060.0,credit,Other
2021-03-27,Lawyer writer health.,-1907.65,debit,Health & Fitness
2021-03-28,Serious soon stay seven.,-143.6,debit,Salary
2021-03-29,Land region back nor article.,-869.43,debit,Rent
2021-03-30,Dark mr clearly take.,-1625.42,debit,Health & Fitness
2021-04-01,Quite response.,-1343.33,debit,Health & Fitness
2021-04-02,Together knowledge.,-1737.5,debit,Shopping
2021-04-03,How staff.,-317.91,debit,Entertainment
2021-04-03,Car indeed nor next.,-1204.82,debit,Travel
2021-04-03,Authority interest red must art.,-706.73,debit,Rent
2021-04-08,Year him thank trade.,-1691.86,debit,Shopping
2021-04-08,All important shoulder she.,-1527.59,debit,Rent
2021-04-09,Radio product.,-1221.9,debit,Food & Drink
2021-04-11,President girl condition.,-67.62,debit,Travel
2021-04-11,More road development about.,-1843.86,debit,Travel
2021-04-12,Leg rest interest.,-1741.03,debit,Utilities
2021-04-13,Easy get every.,-148.47,debit,Shopping
2021-04-18,Special information.,-192.6,debit,Food & Drink
2021-04-19,Deal beyond almost.,-845.47,debit,Shopping
2021-04-19,Scientist i doctor.,-630.16,debit,Health & Fitness
2021-04-19,Cell year.,-1767.85,debit,Rent
2021-04-19,Five our pull fly few.,1168.0,credit,Investment
2021-04-21,Determine feel article we they.,-976.47,debit,Shopping
2021-04-23,Quickly new another general poor.,-438.98,debit,Travel
2021-04-23,Five indicate chance heavy senior.,-865.53,debit,Health & Fitness
2021-04-24,Support feeling remain.,-1058.6,debit,Salary
2021-04-27,None whose.,-796.57,debit,Entertainment
2021-04-27,Care drug data position two.,-416.8,debit,Food & Drink
2021-04-27,Movie stop.,-1530.68,debit,Utilities
2021-04-30,Help painting always.,-25.38,debit,Rent
2021-05-02,Source onto provide.,-267.08,debit,Utilities
2021-05-04,Decade trade field training.,-1005.52,debit,Entertainment
2021-05-04,While bring yourself.,-153.43,debit,Health & Fitness
2021-05-06,Receive region however.,-878.08,debit,Food & Drink
2021-05-07,Have including none.,-816.01,debit,Rent
2021-05-07,Focus executive letter possible final.,-1725.6,debit,Rent
2021-05-07,Third letter sort reveal seven.,-1421.9,debit,Shopping
2021-05-10,Administration network once.,-1604.63,debit,Utilities
2021-05-11,Charge form here.,-185.38,debit,Health & Fitness
2021-05-11,Nearly want front shake.,-877.0,debit,Entertainment
2021-05-12,Leave run goal cause.,-797.58,debit,Rent
2021-05-14,Contain threat wrong whatever.,-450.93,debit,Health & Fitness
2021-05-14,Stuff avoid.,-1025.86,debit,Rent
2021-05-15,Include successful.,3362.0,credit,Investment
2021-05-17,Religious across.,-480.18,debit,Utilities
2021-05-19,Health pay project pattern.,1921.0,credit,Investment
2021-05-22,Administration mother in admit.,-362.52,debit,Rent
2021-05-23,Within admit spend purpose south.,-933.27,debit,Salary
2021-05-24,Truth modern.,-1365.46,debit,Salary
2021-05-24,People education great.,-1729.85,debit,Health & Fitness
2021-05-24,Health image.,-885.13,debit,Utilities
2021-05-25,Wrong difficult range.,-1594.7,debit,Travel
2021-05-25,Behavior here.,-1019.6,debit,Health & Fitness
2021-05-27,Argue act commercial matter.,-84.84,debit,Salary
2021-05-27,Not teach believe month.,-162.69,debit,Travel
2021-05-29,Deep test thought.,-1233.87,debit,Rent
2021-05-30,Another avoid understand.,-1164.86,debit,Salary
2021-05-31,Up federal nor note.,-649.84,debit,Entertainment
2021-05-31,Probably conference sure administration debate.,-904.97,debit,Food & Drink
2021-06-02,Forward sense cause write right.,-1915.87,debit,Utilities
2021-06-02,Approach join stuff future.,-1964.95,debit,Health & Fitness
2021-06-03,Ahead event yeah make.,820.0,credit,Investment
2021-06-06,Wait it quickly produce beat.,-1982.06,debit,Salary
2021-06-06,Require bank child.,-734.16,debit,Utilities
2021-06-06,First blood accept final.,-823.45,debit,Shopping
2021-06-09,Bill beautiful issue.,-1580.56,debit,Food & Drink
2021-06-11,Mention billion bed never others.,-666.08,debit,Rent
2021-06-11,Activity including single right.,-575.45,debit,Shopping
2021-06-14,Occur college herself.,-673.39,debit,Utilities
2021-06-15,Feeling manage as.,-1834.33,debit,Utilities
2021-06-16,Inside machine baby.,-266.61,debit,Shopping
2021-06-20,Result many pattern.,-626.07,debit,Rent
2021-06-20,Career according.,-1628.24,debit,Health & Fitness
2021-06-22,Success here television key.,-1295.59,debit,Rent
2021-06-23,Carry fly water cut fire.,-46.28,debit,Health & Fitness
2021-06-24,Fact reason make office.,-690.05,debit,Entertainment
2021-06-26,Heavy staff hotel box.,-460.82,debit,Entertainment
2021-06-27,Or nation race.,2923.0,credit,Investment
2021-06-28,Cause field education child.,-1198.52,debit,Utilities
2021-06-28,Available wrong look husband.,1856.0,credit,Investment
2021-06-28,Well left.,-1020.3,debit,Rent
2021-06-28,Something story attorney summer.,-1327.24,debit,Food & Drink
2021-06-29,Myself so growth time.,-827.61,debit,Food & Drink
2021-07-04,Point be shoulder price great.,-1939.48,debit,Entertainment
2021-07-04,Worker quality hundred sell whole.,-475.67,debit,Salary
2021-07-04,Action else.,-1808.91,debit,Salary
2021-07-06,Newspaper reach determine hear leg.,4282.0,credit,Other
2021-07-07,General agency bit.,-1010.78,debit,Shopping
2021-07-09,Break wait.,-1635.61,debit,Utilities
2021-07-09,Find lay deal lot.,-1747.27,debit,Utilities
2021-07-10,Feel special.,-1425.69,debit,Rent
2021-07-10,Just recent.,3540.0,credit,Other
2021-07-11,Support possible.,-577.28,debit,Rent
2021-07-11,Might necessary former.,-904.15,debit,Travel
2021-07-11,Discussion if continue policy.,-192.51,debit,Shopping
2021-07-12,Ahead pass culture or.,-1770.41,debit,Salary
2021-07-13,Relate day.,-115.98,debit,Shopping
2021-07-14,Big the cost for leader.,-778.47,debit,Entertainment
2021-07-15,Month police others particularly.,730.0,credit,Investment
2021-07-19,Girl suddenly.,-1679.96,debit,Rent
2021-07-19,Try opportunity public.,-283.82,debit,Utilities
2021-07-23,Home others offer institution main.,4174.0,credit,Other
2021-07-23,Draw bring health.,-1395.18,debit,Salary
2021-07-24,Never majority cell.,-47.82,debit,Rent
2021-07-28,People tend weight machine.,-1102.12,debit,Utilities
2021-07-29,White measure manager range.,-231.26,debit,Shopping
2021-08-02,Major bar air set.,-252.48,debit,Travel
2021-08-06,Ever mrs.,-134.99,debit,Salary
2021-08-07,Not significant manager member.,-1197.51,debit,Salary
2021-08-07,Environmental myself.,1676.0,credit,Investment
2021-08-08,State among rest national wrong.,-1233.47,debit,Food & Drink
2021-08-09,Fear yourself last.,-382.75,debit,Shopping
2021-08-11,Keep yes.,-144.68,debit,Health & Fitness
2021-08-13,Specific onto go.,-787.0,debit,Food & Drink
2021-08-13,Pattern size spend.,-1962.27,debit,Shopping
