date,description,amount,type
2026-04-12,DMART SUPERMARKET,-959,debit
2026-04-13,IKEA FURNITURE,-4091,debit
2026-04-13,UDEMY COURSE PURCHASE,-2113,debit
2026-04-15,ELECTRICITY BILL BESCOM,-1572,debit
2026-04-16,WATER BILL BWSSB,-467,debit
2026-04-16,BOOKMYSHOW EVENT,-2040,debit
2026-04-17,UBER TRIP,-299,debit
2026-04-17,SWIGGY BANGALORE,-649,debit
2026-04-18,MOBILE RECHARGE JIO,-414,debit
2026-04-18,SWIGGY BANGALORE,-568,debit
2026-04-18,ZOMATO ORDER,-442,debit
2026-04-18,FLIPKART ORDER,-4209,debit
2026-04-19,ELECTRICITY BILL BESCOM,-2792,debit
2026-04-20,SIP MUTUAL FUND HDFC,-5000,debit
2026-04-20,SIP MUTUAL FUND AXIS,-3000,debit
2026-04-20,FREELANCE PAYMENT RECEIVED,8111,credit
2026-04-21,LOCAL GROCERY STORE,-503,debit
2026-04-21,CAFE COFFEE DAY,-310,debit
2026-04-21,LOCAL GROCERY STORE,-608,debit
2026-04-23,AMAZON PRIME,-299,debit
2026-04-24,MOVIE TICKETS PVR,-843,debit
2026-04-24,BOOK PURCHASE AMAZON,-613,debit
2026-04-25,CREDIT CARD BILL PAYMENT,-11909,debit
2026-04-25,IKEA FURNITURE,-9616,debit
2026-04-25,YOUTUBE PREMIUM,-129,debit
2026-04-26,DMART SUPERMARKET,-1399,debit
2026-04-26,HEALTH INSURANCE PREMIUM,-2500,debit
2026-04-26,DMART SUPERMARKET,-1565,debit
2026-04-27,LOCAL GROCERY STORE,-582,debit
2026-04-27,OLA CABS,-143,debit
2026-04-28,RESTAURANT DINNER,-2122,debit
2026-04-28,IKEA FURNITURE,-2282,debit
2026-04-29,LOCAL GROCERY STORE,-677,debit
2026-04-29,PETROL PUMP HP,-1671,debit
2026-04-30,PETROL PUMP HP,-1314,debit
2026-05-01,SALARY CREDIT ACME CORP,55000,credit
2026-05-01,HEALTH INSURANCE PREMIUM,-2500,debit
2026-05-02,PETROL PUMP HP,-1005,debit
2026-05-03,NETFLIX SUBSCRIPTION,-649,debit
2026-05-03,LOCAL GROCERY STORE,-846,debit
2026-05-05,RENT PAYMENT LANDLORD,-15000,debit
2026-05-05,PHARMACY APOLLO,-1193,debit
2026-05-05,STARBUCKS COFFEE,-370,debit
2026-05-06,DMART SUPERMARKET,-1133,debit
2026-05-06,BOOKMYSHOW EVENT,-1507,debit
2026-05-06,CAFE COFFEE DAY,-325,debit
2026-05-07,BIGBASKET GROCERY,-1442,debit
2026-05-07,METRO CARD RECHARGE,-315,debit
2026-05-08,SPOTIFY PREMIUM,-119,debit
2026-05-08,LOCAL GROCERY STORE,-739,debit
2026-05-08,LOCAL GROCERY STORE,-361,debit
2026-05-08,ELECTRICITY BILL BESCOM,-2762,debit
2026-05-09,ZOMATO ORDER,-482,debit
2026-05-09,SWIGGY BANGALORE,-459,debit
2026-05-10,AMAZON PRIME,-299,debit
2026-05-10,CAFE COFFEE DAY,-222,debit
2026-05-11,ZERODHA STOCK PURCHASE,-8965,debit
2026-05-11,ZOMATO ORDER,-531,debit
2026-05-12,CULT FIT MEMBERSHIP,-1999,debit
2026-05-13,BOOKMYSHOW EVENT,-1399,debit
2026-05-13,CAFE COFFEE DAY,-227,debit
2026-05-14,UBER TRIP,-426,debit
2026-05-15,ELECTRICITY BILL BESCOM,-1860,debit
2026-05-15,ZOMATO ORDER,-545,debit
2026-05-15,GAMING SUBSCRIPTION,-421,debit
2026-05-16,WATER BILL BWSSB,-437,debit
2026-05-16,PHARMACY APOLLO,-781,debit
2026-05-16,METRO CARD RECHARGE,-342,debit
2026-05-17,UBER TRIP,-360,debit
2026-05-17,DMART SUPERMARKET,-1557,debit
2026-05-18,MOBILE RECHARGE JIO,-567,debit
2026-05-18,METRO CARD RECHARGE,-481,debit
2026-05-19,RESTAURANT DINNER,-1853,debit
2026-05-19,LAPTOP PURCHASE AMAZON,-32779,debit
2026-05-20,SIP MUTUAL FUND HDFC,-5000,debit
2026-05-20,SIP MUTUAL FUND AXIS,-3000,debit
2026-05-20,STARBUCKS COFFEE,-409,debit
2026-05-21,DOMINOS PIZZA,-467,debit
2026-05-21,SIP MUTUAL FUND AXIS,-3000,debit
2026-05-22,ZOMATO ORDER,-359,debit
2026-05-22,METRO CARD RECHARGE,-247,debit
2026-05-24,PPF DEPOSIT,-3000,debit
2026-05-25,CREDIT CARD BILL PAYMENT,-7868,debit
2026-05-25,METRO CARD RECHARGE,-297,debit
2026-05-26,BOOKMYSHOW EVENT,-2082,debit
2026-05-26,MEDICAL CHECKUP,-2192,debit
2026-05-26,PPF DEPOSIT,-3000,debit
2026-05-27,BOOK PURCHASE AMAZON,-604,debit
2026-05-27,METRO CARD RECHARGE,-376,debit
2026-05-28,ZERODHA STOCK PURCHASE,-13427,debit
2026-05-29,DMART SUPERMARKET,-1868,debit
2026-05-29,IKEA FURNITURE,-8325,debit
2026-05-29,UDEMY COURSE PURCHASE,-2528,debit
2026-05-30,BIGBASKET GROCERY,-2101,debit
2026-05-30,RESTAURANT DINNER,-831,debit
2026-05-30,IKEA FURNITURE,-4529,debit
2026-05-31,IKEA FURNITURE,-3315,debit
2026-06-01,SALARY CREDIT ACME CORP,55000,credit
2026-06-01,DMART SUPERMARKET,-2183,debit
2026-06-01,IKEA FURNITURE,-10864,debit
2026-06-01,SWIGGY BANGALORE,-370,debit
2026-06-02,MEDICAL CHECKUP,-1203,debit
2026-06-02,HEALTH INSURANCE PREMIUM,-2500,debit
2026-06-02,AMAZON PRIME,-299,debit
2026-06-03,NETFLIX SUBSCRIPTION,-649,debit
2026-06-03,BIGBASKET GROCERY,-1700,debit
2026-06-04,SWIGGY BANGALORE,-562,debit
2026-06-04,GAMING SUBSCRIPTION,-646,debit
2026-06-05,RENT PAYMENT LANDLORD,-15000,debit
2026-06-05,IKEA FURNITURE,-6183,debit
2026-06-06,LOCAL GROCERY STORE,-461,debit
2026-06-07,DMART SUPERMARKET,-2313,debit
2026-06-07,DMART SUPERMARKET,-1307,debit
2026-06-07,BOOK PURCHASE AMAZON,-518,debit
2026-06-08,SPOTIFY PREMIUM,-119,debit
2026-06-08,BOOK PURCHASE AMAZON,-344,debit
2026-06-08,BOOK PURCHASE AMAZON,-862,debit
2026-06-08,FREELANCE PAYMENT RECEIVED,3803,credit
2026-06-09,BOOKMYSHOW EVENT,-2088,debit
2026-06-09,HEALTH INSURANCE PREMIUM,-2500,debit
2026-06-10,AMAZON PRIME,-299,debit
2026-06-10,HEALTH INSURANCE PREMIUM,-2500,debit
2026-06-11,DMART SUPERMARKET,-968,debit
2026-06-11,OLA CABS,-146,debit
2026-06-12,CULT FIT MEMBERSHIP,-1999,debit
2026-06-12,DOMINOS PIZZA,-848,debit
2026-06-13,BOOKMYSHOW EVENT,-2371,debit
2026-06-13,BOOKMYSHOW EVENT,-2481,debit
2026-06-13,HEALTH INSURANCE PREMIUM,-2500,debit
2026-06-15,ELECTRICITY BILL BESCOM,-2585,debit
2026-06-15,BOOK PURCHASE AMAZON,-484,debit
2026-06-15,PHARMACY APOLLO,-570,debit
2026-06-16,WATER BILL BWSSB,-434,debit
2026-06-16,BOOKMYSHOW EVENT,-721,debit
2026-06-16,IKEA FURNITURE,-2410,debit
2026-06-17,ELECTRICITY BILL BESCOM,-2501,debit
2026-06-18,MOBILE RECHARGE JIO,-553,debit
2026-06-18,SWIGGY BANGALORE,-269,debit
2026-06-18,DMART SUPERMARKET,-1137,debit
2026-06-20,SIP MUTUAL FUND HDFC,-5000,debit
2026-06-20,SIP MUTUAL FUND AXIS,-3000,debit
2026-06-20,BOOK PURCHASE AMAZON,-616,debit
2026-06-20,GAMING SUBSCRIPTION,-501,debit
2026-06-21,LOCAL GROCERY STORE,-679,debit
2026-06-21,RESTAURANT DINNER,-1283,debit
2026-06-21,MOVIE TICKETS PVR,-1102,debit
2026-06-22,STARBUCKS COFFEE,-298,debit
2026-06-22,BOOK PURCHASE AMAZON,-487,debit
2026-06-23,STARBUCKS COFFEE,-312,debit
2026-06-23,UDEMY COURSE PURCHASE,-781,debit
2026-06-24,MOVIE TICKETS PVR,-736,debit
2026-06-24,HEALTH INSURANCE PREMIUM,-2500,debit
2026-06-25,CREDIT CARD BILL PAYMENT,-5064,debit
2026-06-25,PHARMACY APOLLO,-976,debit
2026-06-26,HEALTH INSURANCE PREMIUM,-2500,debit
2026-06-26,FREELANCE PAYMENT RECEIVED,7347,credit
2026-06-27,UBER TRIP,-363,debit
2026-06-27,PETROL PUMP HP,-1851,debit
2026-06-28,MYNTRA FASHION,-2676,debit
2026-06-29,BOOKMYSHOW EVENT,-1905,debit
2026-06-29,CAFE COFFEE DAY,-263,debit
2026-06-29,SWIGGY BANGALORE,-414,debit
2026-06-30,MYNTRA FASHION,-2360,debit
2026-07-01,SALARY CREDIT ACME CORP,55000,credit
2026-07-01,ELECTRICITY BILL BESCOM,-2637,debit
2026-07-02,OLA CABS,-320,debit
2026-07-02,OLA CABS,-311,debit
2026-07-02,DMART SUPERMARKET,-1716,debit
2026-07-03,NETFLIX SUBSCRIPTION,-649,debit
2026-07-03,MYNTRA FASHION,-1425,debit
2026-07-05,RENT PAYMENT LANDLORD,-15000,debit
2026-07-05,BIGBASKET GROCERY,-2339,debit
2026-07-05,DOMINOS PIZZA,-687,debit
2026-07-06,IKEA FURNITURE,-2842,debit
2026-07-07,OLA CABS,-179,debit
2026-07-08,SPOTIFY PREMIUM,-119,debit
2026-07-09,METRO CARD RECHARGE,-487,debit
2026-07-09,UDEMY COURSE PURCHASE,-2994,debit
2026-07-10,AMAZON PRIME,-299,debit
2026-07-10,CAFE COFFEE DAY,-345,debit
2026-07-12,CULT FIT MEMBERSHIP,-1999,debit
2026-07-12,CAFE COFFEE DAY,-157,debit
2026-07-13,OLA CABS,-289,debit
2026-07-14,ELECTRICITY BILL BESCOM,-1518,debit
2026-07-14,DOMINOS PIZZA,-425,debit
2026-07-14,MYNTRA FASHION,-2614,debit
2026-07-15,ELECTRICITY BILL BESCOM,-2105,debit
2026-07-15,DOMINOS PIZZA,-458,debit
2026-07-16,WATER BILL BWSSB,-549,debit
2026-07-16,BIGBASKET GROCERY,-2009,debit
2026-07-17,UDEMY COURSE PURCHASE,-1546,debit
2026-07-18,MOBILE RECHARGE JIO,-653,debit
2026-07-18,RESTAURANT DINNER,-1890,debit
2026-07-18,MYNTRA FASHION,-1095,debit
2026-07-19,UBER TRIP,-280,debit
2026-07-20,SIP MUTUAL FUND HDFC,-5000,debit
2026-07-20,SIP MUTUAL FUND AXIS,-3000,debit
2026-07-20,BIGBASKET GROCERY,-2029,debit
2026-07-20,STARBUCKS COFFEE,-293,debit
2026-07-21,SIP MUTUAL FUND HDFC,-5000,debit
2026-07-21,MOVIE TICKETS PVR,-846,debit
2026-07-22,DMART SUPERMARKET,-1353,debit
2026-07-23,DOMINOS PIZZA,-499,debit
2026-07-24,MOVIE TICKETS PVR,-641,debit
2026-07-24,STARBUCKS COFFEE,-300,debit
2026-07-25,CREDIT CARD BILL PAYMENT,-10218,debit
2026-07-25,CAFE COFFEE DAY,-276,debit
2026-07-25,METRO CARD RECHARGE,-489,debit
2026-07-26,BOOK PURCHASE AMAZON,-609,debit
2026-07-27,HEALTH INSURANCE PREMIUM,-2500,debit
2026-07-27,BIGBASKET GROCERY,-1835,debit
2026-07-28,LOCAL GROCERY STORE,-392,debit
2026-07-29,UBER TRIP,-350,debit
2026-07-30,GAS CYLINDER BOOKING,-938,debit
2026-07-31,GAMING SUBSCRIPTION,-486,debit
2026-07-31,OLA CABS,-120,debit
